Data	Casi	MediaMobile
24/08/20	7	
25/08/20	5	
26/08/20	8	
27/08/20	5	
28/08/20	6	6,57142857142857
29/08/20	7	6,71428571428571
30/08/20	8	7,42857142857143
31/08/20	8	8
01/09/20	10	9
02/09/20	12	9,85714285714286
03/09/20	12	10,2857142857143
04/09/20	12	9,57142857142857
05/09/20	10	9,85714285714286
06/09/20	3	10,1428571428571
07/09/20	10	10,1428571428571
08/09/20	12	10,4285714285714
09/09/20	12	11
10/09/20	14	11,8571428571429
11/09/20	16	12,1428571428571
12/09/20	16	12,7142857142857
13/09/20	5	13,2857142857143
14/09/20	14	13,8571428571429
15/09/20	16	14,7142857142857
16/09/20	16	15,4285714285714
17/09/20	20	15,2857142857143
18/09/20	21	16
19/09/20	15	17,4285714285714
20/09/20	10	19,4285714285714
21/09/20	24	22,2857142857143
22/09/20	30	21,7142857142857
23/09/20	36	22,1428571428571
24/09/20	16	23,1428571428571
25/09/20	24	24
26/09/20	22	23,1428571428571
27/09/20	16	23,1428571428571
28/09/20	18	22,2857142857143
29/09/20	30	26,7142857142857
30/09/20	30	29,2857142857143
01/10/20	35	31,2857142857143
02/10/20	36	37,5714285714286
03/10/20	40	44,7142857142857
04/10/20	30	52,2857142857143
05/10/20	62	62
06/10/20	80	69,7142857142857
07/10/20	83	78,2857142857143
08/10/20	103	79,7142857142857
09/10/20	90	88,7142857142857
10/10/20	100	93,7142857142857
11/10/20	40	104,142857142857
12/10/20	125	112,285714285714
13/10/20	115	125,857142857143
14/10/20	156	134,428571428571
15/10/20	160	143,714285714286
16/10/20	185	156,285714285714
17/10/20	160	170,571428571429
18/10/20	105	179,714285714286
19/10/20	213	189,714285714286
20/10/20	215	204,571428571429
21/10/20	220	219,571428571429
22/10/20	230	225,142857142857
23/10/20	289	227,857142857143
24/10/20	265	242,857142857143
25/10/20	144	265
26/10/20	232	275,714285714286
27/10/20	320	281,285714285714
28/10/20	375	281,285714285714
29/10/20	305	283,571428571429
30/10/20	328	290,285714285714
31/10/20	265	292
01/11/20	160	289
02/11/20	279	298
03/11/20	332	310,142857142857
04/11/20	354	322,428571428571
05/11/20	368	329,142857142857
06/11/20	413	344,571428571429
07/11/20	351	345,714285714286
08/11/20	207	349,142857142857
09/11/20	387	343,714285714286
10/11/20	340	334,285714285714
11/11/20	378	319,857142857143
12/11/20	330	314,142857142857
13/11/20	347	305,285714285714
14/11/20	250	299
15/11/20	167	290,285714285714
16/11/20	325	293,714285714286
17/11/20	296	284,571428571429
18/11/20	317	272,714285714286
19/11/20	354	263,857142857143
20/11/20	283	250,142857142857
21/11/20	167	237,571428571429
22/11/20	105	223,714285714286
23/11/20	229	202,285714285714
24/11/20	208	190,142857142857
25/11/20	220	184,428571428571
26/11/20	204	178,857142857143
27/11/20	198	163,571428571429
28/11/20	127	156,857142857143
29/11/20	66	148,571428571429
30/11/20	122	146,571428571429
01/12/20	161	136,857142857143
02/12/20	162	133,571428571429
03/12/20	190	132,857142857143
04/12/20	130	133,285714285714
05/12/20	104	118,428571428571
06/12/20	61	112,428571428571
07/12/20	125	106
08/12/20	57	109,142857142857
09/12/20	120	114,285714285714
10/12/20	145	112,714285714286
11/12/20	152	112,714285714286
12/12/20	140	123,857142857143
13/12/20	50	123
14/12/20	125	121,285714285714
15/12/20	135	115,285714285714
16/12/20	114	106
17/12/20	133	106,285714285714
18/12/20	110	104,857142857143
19/12/20	75	105,285714285714
20/12/20	52	107
21/12/20	115	101,857142857143
22/12/20	138	90,1428571428571
23/12/20	126	86,1428571428571
24/12/20	97	80,5714285714286
25/12/20	28	
26/12/20	47	
27/12/20	13	
